id,topic,quote,author,page,source_title,source_file
1,ABANDONMENT OF SELF TO GOD,"Abandon yourself utterly for the love of God, and in this way you will become truly happy.",Henry Suso,20,A Dictionary of Quotes from the Saints,"A Dictionary of Quotes From th - Thigpen, Paul_6247.pdf"
2,ABANDONMENT OF SELF TO GOD,"Lose yourself wholly; and the more you lose, the more you will find.",Catherine of Siena,20,A Dictionary of Quotes from the Saints,"A Dictionary of Quotes From th - Thigpen, Paul_6247.pdf"
3,ABANDONMENT OF SELF TO GOD,"Let each one remember that he will make progress in all spiritual things only insofar as he rids himself of self-love, self-will, and self-interest.",Ignatius Loyola,20,A Dictionary of Quotes from the Saints,"A Dictionary of Quotes From th - Thigpen, Paul_6247.pdf"
4,ABANDONMENT OF SELF TO GOD,"I need nothing but God, and to lose myself in the heart of God.",Margaret Mary Alacoque,20,A Dictionary of Quotes from the Saints,"A Dictionary of Quotes From th - Thigpen, Paul_6247.pdf"
5,ABANDONMENT OF SELF TO GOD,"Let us throw ourselves into the ocean of His goodness, where every failing will be canceled and anxiety turned into love.",Paul of the Cross,20,A Dictionary of Quotes from the Saints,"A Dictionary of Quotes From th - Thigpen, Paul_6247.pdf"
6,ABANDONMENT OF SELF TO GOD,I wish I could lose myself and never find myself except in God!,John Vianney,20,A Dictionary of Quotes from the Saints,"A Dictionary of Quotes From th - Thigpen, Paul_6247.pdf"
7,ABORTION,A woman who deliberately destroys a fetus is answerable for murder. And any fine distinction between its being completely formed or unformed is not admissible among us.,Basil the Great,21,A Dictionary of Quotes from the Saints,"A Dictionary of Quotes From th - Thigpen, Paul_6247.pdf"
8,ADVENT,"There are three distinct comings of the Lord of which I know: His coming to men, His coming into men, and His coming against men.",Bernard of Clairvaux,22,A Dictionary of Quotes from the Saints,"A Dictionary of Quotes From th - Thigpen, Paul_6247.pdf"
9,AFFECTIONS,"We don’t walk to God with the feet of our body, nor would wings, if we had them, carry us to Him; but we go to Him by the affections of our soul.",Augustine of Hippo,23,A Dictionary of Quotes from the Saints,"A Dictionary of Quotes From th - Thigpen, Paul_6247.pdf"
10,AFFLICTION,Let your afflictions be books to admonish you.,Ephraem the Syrian,24,A Dictionary of Quotes from the Saints,"A Dictionary of Quotes From th - Thigpen, Paul_6247.pdf"
11,AFFLICTION,God measures out affliction according to our need.,John Chrysostom,24,A Dictionary of Quotes from the Saints,"A Dictionary of Quotes From th - Thigpen, Paul_6247.pdf"
12,AFFLICTION,"One and the same violence of affliction proves, purifies, and melts the good, and condemns, wastes, and casts out the bad.",Augustine of Hippo,24,A Dictionary of Quotes from the Saints,"A Dictionary of Quotes From th - Thigpen, Paul_6247.pdf"
13,AFFLICTION,"You who teach us by sorrow, and wound us in order to heal us, and kill us so that we may not die apart from You.",Augustine of Hippo,24,A Dictionary of Quotes from the Saints,"A Dictionary of Quotes From th - Thigpen, Paul_6247.pdf"
14,AFFLICTION,Why are we sad? Why do we blame God? Evils abound in the world so that the world will fail to seduce us into loving it.,Augustine of Hippo,24,A Dictionary of Quotes from the Saints,"A Dictionary of Quotes From th - Thigpen, Paul_6247.pdf"
15,AFFLICTION,"The more we are afflicted in this world, the greater is our assurance in the next; the more we sorrow in the present, the greater will be our joy in the future.",Isidore of Seville,24,A Dictionary of Quotes from the Saints,"A Dictionary of Quotes From th - Thigpen, Paul_6247.pdf"
16,AFFLICTION,"If things always went wrong, no one could endure it; if things always went well, everyone would become arrogant.",Bernard of Clairvaux,24,A Dictionary of Quotes from the Saints,"A Dictionary of Quotes From th - Thigpen, Paul_6247.pdf"
17,AFFLICTION,Tribulation is a gift from God—one that He especially gives His special friends.,Thomas More,24,A Dictionary of Quotes from the Saints,"A Dictionary of Quotes From th - Thigpen, Paul_6247.pdf"
18,AFFLICTION,Without the burden of afflictions it is impossible to reach the height of grace. The gift of grace increases as the struggles increase.,Rose of Lima,24,A Dictionary of Quotes from the Saints,"A Dictionary of Quotes From th - Thigpen, Paul_6247.pdf"
19,AFFLICTION,"Whenever anything disagreeable or displeasing happens to you, remember Christ crucified and be silent.",John of the Cross,25,A Dictionary of Quotes from the Saints,"A Dictionary of Quotes From th - Thigpen, Paul_6247.pdf"
20,AFFLICTION,"See to it that you’re not suddenly saddened by the adversities of this world, for you don’t know the good they bring, being ordained in the judgments of God for the everlasting joy of the elect.",John of the Cross,25,A Dictionary of Quotes from the Saints,"A Dictionary of Quotes From th - Thigpen, Paul_6247.pdf"
21,AFFLICTION,Many would be willing to have afflictions provided that they be not inconvenienced by them.,Francis de Sales,25,A Dictionary of Quotes from the Saints,"A Dictionary of Quotes From th - Thigpen, Paul_6247.pdf"
22,AFFLICTION,"It is not enough to be afflicted because God wills it; but we must be so as He wills it, when He wills it, for as long as He wills it, and exactly in the manner in which it pleases Him.",Francis de Sales,25,A Dictionary of Quotes from the Saints,"A Dictionary of Quotes From th - Thigpen, Paul_6247.pdf"
23,AFFLICTION,"Should we not adore God’s will in profound submission, and lovingly kiss the rod with which He reproves His elect?",Jane Frances de Chantal,25,A Dictionary of Quotes from the Saints,"A Dictionary of Quotes From th - Thigpen, Paul_6247.pdf"
24,"AGE, AGING","When men wish for old age for themselves, what else do they wish for but lengthened infirmity?",Augustine of Hippo,26,A Dictionary of Quotes from the Saints,"A Dictionary of Quotes From th - Thigpen, Paul_6247.pdf"
25,"AGE, AGING","Let your old age be childlike, and your childhood like old age; that is, so that neither may your wisdom be with pride, nor your humility without wisdom.",Augustine of Hippo,26,A Dictionary of Quotes from the Saints,"A Dictionary of Quotes From th - Thigpen, Paul_6247.pdf"
26,ALMSGIVING,Our prayers become effective through almsgiving; life is redeemed from dangers by almsgiving; souls are delivered from death by almsgiving.,Cyprian of Carthage,27,A Dictionary of Quotes from the Saints,"A Dictionary of Quotes From th - Thigpen, Paul_6247.pdf"
27,ALMSGIVING,The bread you store up belongs to the hungry; the cloak that lies in your chest belongs to the naked; the gold you have hidden in the ground belongs to the poor.,Basil the Great,27,A Dictionary of Quotes from the Saints,"A Dictionary of Quotes From th - Thigpen, Paul_6247.pdf"
28,ALMSGIVING,"Scatter what you have, then, so that you may not lose; give away, so that you may keep; lay out, so that you may save; spend, so that you may gain. If your treasures are to be hoarded, don’t be the one who hoards them, for in doing so you will surely be throwing them away. Instead, entrust them to God, for no one can steal them from Him. … Lend to Him who gives an interest greater than the principal.",John Chrysostom,27,A Dictionary of Quotes from the Saints,"A Dictionary of Quotes From th - Thigpen, Paul_6247.pdf"
29,ALMSGIVING,The rich man who gives to the poor does not bestow alms but pays a debt.,Ambrose of Milan,27,A Dictionary of Quotes from the Saints,"A Dictionary of Quotes From th - Thigpen, Paul_6247.pdf"
30,ALMSGIVING,"If we can enter the church day and night and implore God to hear our prayers, how careful we should be to hear and grant the petitions of our neighbors in need.",Francis of Assisi,27,A Dictionary of Quotes from the Saints,"A Dictionary of Quotes From th - Thigpen, Paul_6247.pdf"
31,ALMSGIVING,"We must be charitable and humble and give alms, because they wash the stains of sin from our souls.",Francis of Assisi,27,A Dictionary of Quotes from the Saints,"A Dictionary of Quotes From th - Thigpen, Paul_6247.pdf"
32,ALMSGIVING,It would be considered a theft on our part if we didn’t give to someone in greater need than we are.,Francis of Assisi,27,A Dictionary of Quotes from the Saints,"A Dictionary of Quotes From th - Thigpen, Paul_6247.pdf"
33,ALMSGIVING,We must give alms. Charity wins souls and draws them to virtue.,Angela Merici,28,A Dictionary of Quotes from the Saints,"A Dictionary of Quotes From th - Thigpen, Paul_6247.pdf"
34,AMBITION,"The only true riches are those that make us rich in virtue. Therefore, if you want to be rich, beloved, love true riches. If you aspire to the heights of real honor, strive to reach the kingdom of heaven. If you value rank and renown, hasten to be enrolled in the heavenly court of the angels.",Pope Gregory the Great,29,A Dictionary of Quotes from the Saints,"A Dictionary of Quotes From th - Thigpen, Paul_6247.pdf"
35,AMBITION,"Ambition is the mother of hypocrisy and prefers to skulk in corners and dark places. It cannot endure the light of day. It is an unclean vice wallowing in the depths, always hidden, but ever with an eye to advancement.",Bernard of Clairvaux,29,A Dictionary of Quotes from the Saints,"A Dictionary of Quotes From th - Thigpen, Paul_6247.pdf"
36,ANGELS,Saints The whole air about us is filled with angels.,John Chrysostom,30,A Dictionary of Quotes from the Saints,"A Dictionary of Quotes From th - Thigpen, Paul_6247.pdf"
37,ANGELS,"Now it was not for the angels that Christ died. Yet what was done for the redemption of man through His death was in a sense done for the angels, because the enmity that sin had put between men and the holy angels is removed, and friendship is restored between them, and by the redemption of man the gaps that the great apostasy left in the angelic host are filled up.",Augustine of Hippo,30,A Dictionary of Quotes from the Saints,"A Dictionary of Quotes From th - Thigpen, Paul_6247.pdf"
38,ANGELS,"An angel is an intelligent being, ever in motion, with free will, incorporeal, ministering to God, having by grace obtained immortality in his nature, the form and limitation of whose essence is known to the Creator alone.",John of Damascus,30,A Dictionary of Quotes from the Saints,"A Dictionary of Quotes From th - Thigpen, Paul_6247.pdf"
39,ANGELS,"If we saw an angel clearly, we would die of pleasure.",Bridget of Sweden,30,A Dictionary of Quotes from the Saints,"A Dictionary of Quotes From th - Thigpen, Paul_6247.pdf"
40,ANGELS,"Since God often sends us inspirations by means of His angels, we should frequently return our aspirations to Him by means of the same messengers.",Frances de Sales,30,A Dictionary of Quotes from the Saints,"A Dictionary of Quotes From th - Thigpen, Paul_6247.pdf"
41,ANGELS,"Make yourself familiar with the angels, and behold them frequently in spirit. Without being seen, they are present with you.",Francis de Sales,30,A Dictionary of Quotes from the Saints,"A Dictionary of Quotes From th - Thigpen, Paul_6247.pdf"
42,ANGELS,"Every breath of air and ray of light and heat, every beautiful prospect, is, as it were, the skirts of their garments, the waving of the robes of those whose faces see God in heaven.",John Henry Cardinal Newman,30,A Dictionary of Quotes from the Saints,"A Dictionary of Quotes From th - Thigpen, Paul_6247.pdf"
43,"ANGELS, GUARDIAN","Our weakness is such that, if the guardian angels had not been given to us, we could not resist the many and powerful attacks of the evil spirits. For this purpose, we had need of a higher nature. … That is why God has taken these spirits out from among His treasures, and has given through them an aid to human weakness, so that this divine assistance might help us against the powers of this world of darkness to attain the heritage of salvation.",Hilary of Poitiers,31,A Dictionary of Quotes from the Saints,"A Dictionary of Quotes From th - Thigpen, Paul_6247.pdf"
44,"ANGELS, GUARDIAN","Beside each believer stands an angel as protector and shepherd, leading him to life.",Basil the Great,31,A Dictionary of Quotes from the Saints,"A Dictionary of Quotes From th - Thigpen, Paul_6247.pdf"
45,"ANGELS, GUARDIAN","An angel is put in charge of every believer, provided we do not drive him out by sin. He guards the soul like an army.",Basil the Great,31,A Dictionary of Quotes from the Saints,"A Dictionary of Quotes From th - Thigpen, Paul_6247.pdf"
46,"ANGELS, GUARDIAN","We pray to the angels, for they are given to us as guardians.",Ambrose of Milan,31,A Dictionary of Quotes from the Saints,"A Dictionary of Quotes From th - Thigpen, Paul_6247.pdf"
47,"ANGELS, GUARDIAN","So valuable to heaven is the dignity of the human soul that every member of the human race has a guardian angel from the moment the person begins to be. Jerome Our deeds are daily, both day and night, reported to the Lord by the angels assigned to us.",Benedict of Nursia,31,A Dictionary of Quotes from the Saints,"A Dictionary of Quotes From th - Thigpen, Paul_6247.pdf"
48,"ANGELS, GUARDIAN",They are the guardians of the divisions of the earth; they are set over nations and regions allotted to them by their Creator. They govern all our affairs and bring us help. And the reason surely is that they are set over us by the divine will and command and are ever in the vicinity of God.,John of Damascus,31,A Dictionary of Quotes from the Saints,"A Dictionary of Quotes From th - Thigpen, Paul_6247.pdf"
49,"ANGELS, GUARDIAN","The world of pure spirits stretches between the Divine Nature and the world of men. Because Divine Wisdom has ordained that the higher should look after the lower, angels execute the divine plan for human salvation: They are our guardians, who free us when hindered and help to bring us home.",Thomas Aquinas,32,A Dictionary of Quotes from the Saints,"A Dictionary of Quotes From th - Thigpen, Paul_6247.pdf"
50,"ANGELS, GUARDIAN","If you find it impossible to pray, hide behind your good angel and charge him to pray in your stead.",John Vianney,32,A Dictionary of Quotes from the Saints,"A Dictionary of Quotes From th - Thigpen, Paul_6247.pdf"
51,"ANGELS, GUARDIAN","When tempted, invoke your angel. He is more eager to help you than you are to be helped! Ignore the devil and do not be afraid of him: He trembles and flees at the sight of your guardian angel.",John Bosco,32,A Dictionary of Quotes from the Saints,"A Dictionary of Quotes From th - Thigpen, Paul_6247.pdf"
52,ANGELS AND SAINTS,"I tell you truly, my beloved, that our carelessness and our humiliation and our turning aside from the way are not a loss to us only, but they are a weariness for the angels and for all the saints in Jesus Christ. Our humiliation gives grief to them all, and our salvation gives joy and refreshment to them all.",Antony the Great,33,A Dictionary of Quotes from the Saints,"A Dictionary of Quotes From th - Thigpen, Paul_6247.pdf"
53,ANGELS AND SAINTS,"I bind to myself today the power in the love of the Seraphim, in the obedience of the Angels, in the ministration of the Archangels, in the hope of Resurrection unto reward, in the prayers of the Patriarchs, in the predictions of the Prophets, in the preaching of the Apostles, in the faith of the Confessors, in the purity of the holy Virgins, in the deeds of Righteous men.",Patrick of Ireland,33,A Dictionary of Quotes from the Saints,"A Dictionary of Quotes From th - Thigpen, Paul_6247.pdf"
54,ANGELS AND SAINTS,"So great was my joy in God that I took no heed of looking at the angels and the saints, because all their goodness and all their beauty was from Him and in Him; He was the whole and supreme Good, with all beauty, and so great a joy had I in His words that I paid no heed to any creature.",Angela of Foligno,33,A Dictionary of Quotes from the Saints,"A Dictionary of Quotes From th - Thigpen, Paul_6247.pdf"
55,ANGER,"I call upon the angels and saints, who fly like eagles straight toward their fiery goal; their protection will defend me against the birds of prey that threaten to devour me. The spirits of evil cannot claim me for their own; I belong only to You, Jesus, You who have Your nest up there in the sun of love. Thérèse of Lisieux It is blasphemy if you pray before God while you are full of wrath.",Ephraem the Syrian,33,A Dictionary of Quotes from the Saints,"A Dictionary of Quotes From th - Thigpen, Paul_6247.pdf"
56,ANGER,Anger is a kind of temporary madness.,Basil the Great,34,A Dictionary of Quotes from the Saints,"A Dictionary of Quotes From th - Thigpen, Paul_6247.pdf"
57,ANGER,"If an angry man raises the dead, God is still displeased with his anger.",Abba Agatho,34,A Dictionary of Quotes from the Saints,"A Dictionary of Quotes From th - Thigpen, Paul_6247.pdf"
58,ANGER,"Guard your tongue when your husband is angry. Monica Imagine your anger to be a kind of wild beast … because it too has ferocious teeth and claws, and if you don’t tame it, it will devastate all things. … It not only hurts the body; it even corrupts the health of the soul, devouring, rending, tearing to pieces all its strength, and making it useless for everything.",John Chrysostom,34,A Dictionary of Quotes from the Saints,"A Dictionary of Quotes From th - Thigpen, Paul_6247.pdf"
59,ANGER,"What is hatred, after all, than anger that was allowed to remain, that has become ingrained and deep-rooted? What was anger when it was fresh becomes hatred when it is aged.",Augustine of Hippo,34,A Dictionary of Quotes from the Saints,"A Dictionary of Quotes From th - Thigpen, Paul_6247.pdf"
60,ANGER,"As long as anger lives, she continues to be the fruitful mother of many unhappy children.",John Climacus,34,A Dictionary of Quotes from the Saints,"A Dictionary of Quotes From th - Thigpen, Paul_6247.pdf"
61,ANGER,There is no sin nor wrong that gives a man such a foretaste of hell in this life as anger and impatience.,Catherine of Siena,34,A Dictionary of Quotes from the Saints,"A Dictionary of Quotes From th - Thigpen, Paul_6247.pdf"
62,ANGER,"You will accomplish more by kind words and a courteous manner than by anger or sharp rebuke, which should never be used except in necessity.",Angela Merici,35,A Dictionary of Quotes from the Saints,"A Dictionary of Quotes From th - Thigpen, Paul_6247.pdf"
63,ANGER,"This deadly cancer of anger from which so much harm grows: It makes us unlike ourselves, makes us like timber wolves or furies from hell, drives us forth headlong upon the points of swords, makes us blindly run forth after other men’s destruction as we hasten toward our own ruin.",Thomas More,35,A Dictionary of Quotes from the Saints,"A Dictionary of Quotes From th - Thigpen, Paul_6247.pdf"
64,ANGER,"From what does such contrariness arise in habitually angry people, but from a secret cause of too high an opinion of themselves so that it pierces their heart when they see any man esteem them less than they esteem themselves?. … An inflated estimation of ourselves is more than half the weight of our wrath.",Thomas More,35,A Dictionary of Quotes from the Saints,"A Dictionary of Quotes From th - Thigpen, Paul_6247.pdf"
65,ANGER,"If we should see two men fighting together over serious matters, we would still think them both crazy if they did not leave off fighting when they saw a ferocious lion coming toward them, ready to devour them both. Now considering that we surely see that death is coming on us all, and will undoubtedly within a short time devour us all—how soon, we don’t know— isn’t it worse than insanity to be angry and bear malice to one another, more often than not over trivial matters, in the same way children fight over cherry stones?",Thomas More,35,A Dictionary of Quotes from the Saints,"A Dictionary of Quotes From th - Thigpen, Paul_6247.pdf"
66,ANGER,"Dismiss all anger and look into yourself a little. Remember that he of whom you are speaking is your brother and, as he is in the way of salvation, God can make him a saint, in spite of his present weakness.",Thomas of Villanova,35,A Dictionary of Quotes from the Saints,"A Dictionary of Quotes From th - Thigpen, Paul_6247.pdf"
67,ANGER,"Why lose your temper if by doing so you offend God, annoy other people, give yourself a bad time … and in the end have to find it again?",Josemaria Escriva,35,A Dictionary of Quotes from the Saints,"A Dictionary of Quotes From th - Thigpen, Paul_6247.pdf"
68,"ANGER, HOLY",Reason opposes evil all the more effectively when anger resides at her side.,Pope Gregory the Great,36,A Dictionary of Quotes from the Saints,"A Dictionary of Quotes From th - Thigpen, Paul_6247.pdf"
69,"ANGER, HOLY","There is a holy anger, excited by zeal, that moves us to reprove with warmth those whom our mildness foiled to correct.",Jean Baptiste de la Salle,36,A Dictionary of Quotes from the Saints,"A Dictionary of Quotes From th - Thigpen, Paul_6247.pdf"
70,THE APOCALYPSE,"Whatever has been prophesied is coming to pass, and as the end of the world approaches, it tests both men and the times.",Cyprian of Carthage,37,A Dictionary of Quotes from the Saints,"A Dictionary of Quotes From th - Thigpen, Paul_6247.pdf"
71,THE APOCALYPSE,"If the walls of your home were shaking with age, the roofs above you were trembling, and the house, now worn out and wearied, were threatening an immediate collapse of a structure crumbling with age, wouldn’t you get out of it as quickly as possible? If you were on a voyage, and an angry, raging tempest violently aroused by the waves foretold the coming shipwreck, wouldn’t you quickly seek harbor? Well, the world is changing and passing away; it witnesses to its own ruin now, not by old age, but by the end of things. So shouldn’t you thank God, shouldn’t you congratulate yourself, if by an early departure you’re taken away and rescued from the shipwrecks and disasters that are imminent?",Cyprian of Carthage,37,A Dictionary of Quotes from the Saints,"A Dictionary of Quotes From th - Thigpen, Paul_6247.pdf"
72,THE APOCALYPSE,"Elijah … will come; the Jews will believe; Antichrist will persecute; Christ will judge; the dead will rise; the good and the wicked will be separated; the world will be burned and renewed. All these things, we believe, will come to pass; but how, or in what order, human understanding cannot perfectly teach us—we will know only when we have experienced the events themselves.",Augustine of Hippo,37,A Dictionary of Quotes from the Saints,"A Dictionary of Quotes From th - Thigpen, Paul_6247.pdf"
73,THE APOCALYPSE,"In vain, then, do we attempt to compute definitely the years that may remain to this world, when we may hear from the mouth of the Truth Himself that it is not for us to know this.",Augustine of Hippo,37,A Dictionary of Quotes from the Saints,"A Dictionary of Quotes From th - Thigpen, Paul_6247.pdf"
74,APOLOGETICS,"While the hot restlessness of heretics stirs questions about many articles of the Catholic faith, the necessity of defending them forces us to investigate them more accurately, to understand them more clearly, and to proclaim them more earnestly; and the question mooted by an adversary becomes the occasion of instruction.",Augustine of Hippo,38,A Dictionary of Quotes from the Saints,"A Dictionary of Quotes From th - Thigpen, Paul_6247.pdf"
75,APOLOGETICS,"My object is … to have the naked truth made known to all who are astray and to have it revealed by God’s help through my ministry, commending itself so well that they may embrace and follow it.",Augustine of Hippo,38,A Dictionary of Quotes from the Saints,"A Dictionary of Quotes From th - Thigpen, Paul_6247.pdf"
